num_train_epochs,learning_rate,dim,eval_loss
88,0.0046005986384747,200,0.4702231417171568
98,1.727266718269618e-05,300,0.4731934387468597
52,0.0002880858244767,300,0.4742130929510861
87,0.0004686688090959,200,0.4761932909708881
30,3.239473532279417e-05,200,0.4762031427023299
92,0.0052135873210856,100,0.4781439337963647
58,0.0022582376860413,300,0.478178414856411
80,0.0005811839488824,200,0.4801389094133294
98,8.753885054787309e-05,200,0.480158612876213
67,1.2093075712984448e-05,200,0.4801733904733757
44,0.0040682240676438,300,0.4811240825575095
31,0.0003920293161865,300,0.4821535884931777
78,1.4426394193460846e-05,300,0.4830993547115906
99,0.0001905887521412,200,0.483128909905916
42,4.0375836517651554e-05,200,0.483128909905916
60,8.383336558212774e-05,200,0.4831338357716368
71,0.0003511797713752,200,0.4831436875030787
84,0.000173205423692,200,0.4831486133687995
58,0.0024174296943229,300,0.4841140830500959
42,3.8799043070293e-05,200,0.4851189596571597
57,0.0003150125106902,300,0.4851337372543224
30,1.856860813297942e-05,300,0.4860647258755726
43,1.73197030072762e-05,200,0.4861139845327816
59,0.0002513656216303,300,0.4871287128712871
72,0.0087585716947162,100,0.4880941825525836
49,7.143734616508108e-05,200,0.4890744298310429
25,0.0011653190862982,300,0.4900645288409437
97,0.0085734709232452,200,0.4900645288409437
62,0.0048757456582896,100,0.4940544800748731
24,0.0092349493134644,100,0.4970444805674597
22,2.441481899831643e-05,200,0.4970691098960642
46,1.1658356086807407e-05,300,0.4989606423328899
76,0.0027873292301979,100,0.504950495049505
43,0.0048847564862406,100,0.5069651741293533
45,0.001210144268408,100,0.5188808433082114
76,0.0005762325857885,100,0.5248066597704547
49,0.0030733250001003,100,0.5248312890990592
88,5.138119207189898e-05,100,0.5278163637259248
79,0.0003454553853611,100,0.5307817348899069
70,0.0001105439581838,100,0.531771833899808
68,0.0001489226473417,100,0.533747106053889
89,0.0003017720955109,100,0.534742130929511
37,0.0001972254791202,100,0.5347470567952317
79,2.1127359951722284e-05,100,0.536717403083592
79,1.895562962309457e-05,100,0.5387173045662775
62,7.277177999078466e-05,100,0.5396926259790158
70,1.202738930453784e-05,100,0.5397172553076203
36,6.087988947427339e-05,100,0.5436579478843406
39,2.3120537332242695e-05,100,0.5436677996157825
73,1.31308451512227e-05,100,0.5436677996157825
