embedding_dim,lstm_units,epochs,lr,dropout,recurrent_dropout,valloss
64,64,15,0.0001,0.5,0.3,1.9493715047836304
64,128,10,1e-05,0.5,0.3,2.3011239528656007
64,128,15,1e-05,0.5,0.2,2.349556398391724
128,64,10,0.0001,0.3,0.5,2.400381088256836
128,128,10,0.0001,0.3,0.2,2.501641321182251
256,64,8,0.0001,0.5,0.5,3.272267770767212
128,256,8,1e-05,0.3,0.5,3.3896837711334227
256,256,10,0.0001,0.3,0.2,3.4988959312438963
256,64,10,1e-05,0.3,0.5,3.7012584686279295
256,128,5,0.0001,0.5,0.5,4.011769676208496
64,256,8,0.0001,0.3,0.3,1.9351176023483276
128,256,15,1e-05,0.5,0.2,3.4245297431945803
